exp_name,dataset_name,file_size_bytes,run_id,pipeline,unique_symbols,build_huffman_ms,build_obst_ms,encode_ms,decode_ms,total_ms,compressed_bytes,pad_bits,compression_ratio,lookup_comparisons_total,lookup_comparisons_per_symbol,correctness_ok
exp2_size_scaling,uniform256,32768,7,huffman+obst,256,2.2359,2259.7194,163.6527,137.3351,2562.9431000000004,32768,0,1.0,229788,7.0125732421875,1
exp2_size_scaling,uniform256,65536,1,huffman,256,2.3069,0.0,179.5871,272.635,454.529,65536,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,65536,1,huffman+obst,256,2.2575,2249.2532,320.1112,271.7289,2843.3508,65536,0,1.0,460345,7.0243072509765625,1
exp2_size_scaling,uniform256,65536,2,huffman,256,2.3627,0.0,183.0316,274.5578,459.9521,65536,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,65536,2,huffman+obst,256,2.2744,2225.6041,321.6004,273.5602,2823.0390999999995,65536,0,1.0,460750,7.030487060546875,1
exp2_size_scaling,uniform256,65536,3,huffman,256,1.9308,0.0,157.3478,235.862,395.1406,65536,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,65536,3,huffman+obst,256,2.0786,2041.1565,319.901,271.9349,2635.0710000000004,65536,0,1.0,460247,7.0228118896484375,1
exp2_size_scaling,uniform256,65536,4,huffman,256,2.3368,0.0,181.6854,275.3991,459.4213,65536,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,65536,4,huffman+obst,256,2.3023,2242.182,320.3135,274.3931,2839.1908999999996,65536,0,1.0,460302,7.023651123046875,1
exp2_size_scaling,uniform256,65536,5,huffman,256,2.3474,0.0,180.9254,277.2298,460.50260000000003,65536,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,65536,5,huffman+obst,256,2.2634,2239.8375,325.0775,277.0518,2844.2302,65536,0,1.0,460464,7.026123046875,1
exp2_size_scaling,uniform256,65536,6,huffman,256,2.2658,0.0,186.2155,276.1027,464.58400000000006,65536,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,65536,6,huffman+obst,256,2.244,2237.2354,320.9244,274.7684,2835.1722,65536,0,1.0,460008,7.0191650390625,1
exp2_size_scaling,uniform256,65536,7,huffman,256,2.4185,0.0,181.1392,273.3437,456.90139999999997,65536,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,65536,7,huffman+obst,256,2.329,2286.17,326.6546,272.9373,2888.0909,65536,0,1.0,460589,7.0280303955078125,1
exp2_size_scaling,uniform256,131072,1,huffman,256,2.3317,0.0,365.1553,545.3199,912.8069,131072,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,131072,1,huffman+obst,256,2.2711,2216.1021,649.6582,547.5978,3415.6292,131072,0,1.0,921231,7.028434753417969,1
exp2_size_scaling,uniform256,131072,2,huffman,256,2.2652,0.0,364.277,545.0622,911.6043999999999,131072,0,1.0,0,0.0,1
